example,group,subject,speed_bin,n_train,test_frames,n_delays,rank_requested,rank_fit,stabilize,smooth_window,nrmse,rmse,amplitude_ratio,tail_amplitude_ratio,horizon,stride_frequency,spectral_radius
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,true,0,0.9273900502027398,0.2543697668242409,0.4075835963888421,0.11880520465522855,78,3.859649122807017,0.9688580379691897
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,true,7,0.92041335985906,0.24795839899193178,0.3349648351480704,0.05656141976663801,78,3.859649122807017,0.9592947441139167
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,true,11,0.9140613622291244,0.23743578061111764,0.3696688540956878,0.06395995047435374,78,3.859649122807017,0.9647738935439484
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,true,15,0.894317999262355,0.21997743692021673,0.4447090389113748,0.04721144645377034,78,3.859649122807017,0.9554385775590551
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,true,21,0.9118603946662276,0.19838261386946257,0.4135618570201237,0.14344235578253411,78,3.859649122807017,0.9732035269380023
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,false,0,0.9273900502027401,0.254369766824241,0.4075835963888406,0.1188052046552285,78,3.859649122807017,0.9688580379691893
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,false,7,0.9204133598590587,0.24795839899193145,0.33496483514807607,0.05656141976664502,78,3.859649122807017,0.9592947441139161
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,false,11,0.9140613622291239,0.2374357806111175,0.3696688540956915,0.06395995047435105,78,3.859649122807017,0.9647738935439467
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,false,15,0.8943179992623529,0.2199774369202162,0.44470903891136065,0.04721144645375732,78,3.859649122807017,0.9554385775590516
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,80,52,false,21,0.9118603946662288,0.19838261386946285,0.4135618570201285,0.14344235578253994,78,3.859649122807017,0.9732035269380029
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,true,0,0.9273900502027398,0.2543697668242409,0.4075835963888421,0.11880520465522855,78,3.859649122807017,0.9688580379691897
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,true,7,0.92041335985906,0.24795839899193178,0.3349648351480704,0.05656141976663801,78,3.859649122807017,0.9592947441139167
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,true,11,0.9140613622291244,0.23743578061111764,0.3696688540956878,0.06395995047435374,78,3.859649122807017,0.9647738935439484
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,true,15,0.894317999262355,0.21997743692021673,0.4447090389113748,0.04721144645377034,78,3.859649122807017,0.9554385775590551
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,true,21,0.9118603946662276,0.19838261386946257,0.4135618570201237,0.14344235578253411,78,3.859649122807017,0.9732035269380023
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,false,0,0.9273900502027401,0.254369766824241,0.4075835963888406,0.1188052046552285,78,3.859649122807017,0.9688580379691893
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,false,7,0.9204133598590587,0.24795839899193145,0.33496483514807607,0.05656141976664502,78,3.859649122807017,0.9592947441139161
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,false,11,0.9140613622291239,0.2374357806111175,0.3696688540956915,0.06395995047435105,78,3.859649122807017,0.9647738935439467
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,false,15,0.8943179992623529,0.2199774369202162,0.44470903891136065,0.04721144645375732,78,3.859649122807017,0.9554385775590516
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,120,52,false,21,0.9118603946662288,0.19838261386946285,0.4135618570201285,0.14344235578253994,78,3.859649122807017,0.9732035269380029
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,true,0,0.9734611215099249,0.2628520761607852,0.3376191240640054,0.3266928740492505,78,3.859649122807017,0.9925115672706715
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,true,7,0.9014699704207934,0.23914571720771646,0.4162396136725408,0.4561457316286917,78,3.859649122807017,0.9938864857413856
1,Cntnap_neg,OFT-0691-00,medium,120,285,26,10,10,true,11,0.8462989205920827,0.21697704348900107,0.49068967735023655,0.5359492448594275,78,3.859649122807017,0.9962145744555059
