group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,mean_log_gain,band_3_7_log_gain
TSC_het,OFT-0514-00,fast,559,2.470561326515494,4.50561797752809,1.7074941338432157,1.8459124057055616
TSC_het,OFT-0525-00,slow,560,2.33387033612273,2.8258426966292136,1.7441143522012075,1.857994254399233
TSC_het,OFT-0525-00,medium,561,2.4362370379196574,4.247191011235955,1.7074481090031168,1.8555957443746378
TSC_het,OFT-0525-00,fast,562,2.204526726005822,5.151685393258427,1.7516233732159123,1.8911479236579054
TSC_het,OFT-0526-00,medium,563,2.274816190461958,3.4719101123595504,1.7815490559387865,1.9382178889722919
TSC_het,OFT-0526-00,fast,564,2.359449827313377,3.730337078651685,1.6822602780682294,1.8323701232404228
TSC_het,OFT-0526-00,slow,565,2.364510111853369,3.9887640449438204,1.8658860911601036,2.0551114925789067
TSC_het,OFT-0531-00,medium,566,2.2850726254339246,3.601123595505618,1.766911968970342,1.879985655802001
TSC_het,OFT-0531-00,fast,567,2.400491385820959,4.50561797752809,1.718728212368063,1.7829378442537207
TSC_het,OFT-0531-00,slow,568,2.2943163133585367,3.0842696629213484,1.744175915974473,1.8563106255098318
TSC_het,OFT-0532-00,medium,569,2.645218370609314,3.4719101123595504,1.8475041399781214,1.9812630582953699
TSC_het,OFT-0532-00,slow,570,2.626267765550107,2.8258426966292136,1.8949316691113829,1.989308475401499
TSC_het,OFT-0532-00,fast,571,2.6791538135256046,3.730337078651685,1.8210928660624177,1.9636433258594541
TSC_het,OFT-0536-00,medium,572,2.5951435173700776,3.601123595505618,1.7786405739789344,1.9284389871902994
TSC_het,OFT-0536-00,fast,573,2.3452147940995616,4.634831460674158,1.7418969832682072,1.9269986954291352
TSC_het,OFT-0536-00,slow,574,2.620982804994431,3.0842696629213484,1.7807233810358682,1.9545258679574695
TSC_het,OFT-0537-00,medium,575,2.4374670654682036,3.601123595505618,1.7660054274730164,1.8692055292630712
TSC_het,OFT-0537-00,fast,576,2.4985919334829036,3.9887640449438204,1.7603130743617195,1.85816185166421
TSC_het,OFT-0537-00,slow,577,2.4379741237942065,3.0842696629213484,1.859063363693167,2.007909261937379
TSC_het,OFT-0544-00,medium,578,2.3749431716485043,4.376404494382022,1.7916782717307453,1.9984848846403207
TSC_het,OFT-0544-00,fast,579,2.2419471752916786,4.893258426966292,1.7216652724643833,1.8884013591110913
TSC_het,OFT-0544-00,slow,580,2.4334008693380307,3.4719101123595504,1.8152767452851095,1.960527387975937
TSC_het,OFT-0588-00,slow,581,2.5742419580895923,3.9887640449438204,1.836169681459453,2.016753895568954
TSC_het,OFT-0588-00,medium,582,2.4335417608104692,3.9887640449438204,1.7164257241188876,1.8448688865206615
TSC_het,OFT-0588-00,fast,583,2.576531876807272,4.50561797752809,1.7021319228601992,1.7928951999708242
TSC_het,OFT-0589-00,slow,584,2.5660987982833827,4.117977528089888,1.8479046422540775,1.9647734983393677
TSC_het,OFT-0589-00,medium,585,2.368102888373449,3.730337078651685,1.6840863834245552,1.8122854971833078
TSC_het,OFT-0589-00,fast,586,2.6335428701409818,4.376404494382022,1.687648206518219,1.8094042663368852
TSC_het,OFT-0591-00,slow,587,2.5255894815902593,2.955056179775281,1.8463552442174327,1.950830688928886
TSC_het,OFT-0591-00,fast,588,2.5331384835848745,3.4719101123595504,1.7723828437511802,1.8799390133883513
TSC_het,OFT-0591-00,medium,589,2.6118636086882683,3.342696629213483,1.8308597084987213,1.9888503814612142
TSC_het,OFT-0592-00,fast,590,2.4193645265488666,3.9887640449438204,1.7960399506874518,1.8835518524781443
TSC_het,OFT-0592-00,medium,591,2.4667809774019767,3.2134831460674156,1.8522918626058786,1.9842626857048498
TSC_het,OFT-0592-00,slow,592,2.902677660682161,2.050561797752809,1.8870567290244114,1.9629318552061337
TSC_het,OFT-0594-00,medium,593,2.3981708215002726,3.0842696629213484,1.7978165196033258,1.9185297905656162
TSC_het,OFT-0594-00,slow,594,2.6171571515141965,2.696629213483146,1.9117069188124558,1.953245922449962
TSC_het,OFT-0594-00,fast,595,2.4484368263100857,3.9887640449438204,1.8044689659015332,1.9261918055990905
TSC_het,OFT-0595-00,fast,596,2.298194576338513,3.9887640449438204,1.733314259330732,1.8773900227648128
TSC_het,OFT-0595-00,medium,597,2.5172751621561082,3.601123595505618,1.7675902744377447,1.8933779912585242
TSC_het,OFT-0595-00,slow,598,2.510318830502804,2.567415730337079,1.8195115137033804,1.9713692789476402
TSC_het,OFT-0601-00,medium,599,2.5995808226748034,4.117977528089888,1.7767105788694446,1.8947581691753033
TSC_het,OFT-0601-00,fast,600,2.514554409705331,4.893258426966292,1.7311449492024782,1.8508726054275084
TSC_het,OFT-0601-00,slow,601,2.441022505156459,3.4719101123595504,1.7311281390269335,1.873485535353054
TSC_het,OFT-0602-00,fast,602,2.5565487116751466,4.764044943820225,1.7249590256195066,1.8468042436127776
TSC_het,OFT-0602-00,medium,603,2.5663828124038184,3.859550561797753,1.7849846472696234,1.9186677516737602
TSC_het,OFT-0602-00,slow,604,2.311458183491203,3.342696629213483,1.848817859099217,1.9807045471867604
TSC_het,OFT-0604-00,medium,605,2.5544864005293095,3.859550561797753,1.796175852611545,1.9536224767345158
TSC_het,OFT-0604-00,slow,606,2.560769178092882,2.438202247191011,1.8436785565458258,1.9045974346869778
TSC_het,OFT-0604-00,fast,607,2.425769128819143,3.859550561797753,1.7785267816307933,1.8523582593240238
TSC_het,OFT-0610-00,fast,608,2.3562370995222124,4.764044943820225,1.7680219596815272,1.9359972627913655
TSC_het,OFT-0610-00,slow,609,2.8287733910909827,1.7921348314606742,1.8393729219046224,1.890476095226658
TSC_het,OFT-0610-00,medium,610,2.329490243986105,3.859550561797753,1.7777174297155354,1.9176310483380004
TSC_het,OFT-0614-00,fast,611,2.348825125145579,3.859550561797753,1.6903617744890895,1.799457205421649
TSC_het,OFT-0614-00,slow,612,3.01337664812878,2.955056179775281,1.9096479060593161,2.0146597838232276
TSC_het,OFT-0614-00,medium,613,2.413814281148402,3.859550561797753,1.8255936937408768,1.916616780793473
TSC_het,OFT-0617-00,slow,614,2.355908247647339,3.859550561797753,1.7608036810279581,1.9293232773114068
TSC_het,OFT-0617-00,medium,615,2.3455828928986957,4.893258426966292,1.7682357291550561,1.9558353942494462
TSC_het,OFT-0617-00,fast,616,2.4100681524197247,5.53932584269663,1.7213038935035614,1.9284003311333495
TSC_het,OFT-0620-00,slow,617,2.44221803330555,3.601123595505618,1.8196555925448044,1.9683520105533525
TSC_het,OFT-0620-00,fast,618,2.4125404560231,4.376404494382022,1.723223966734522,1.8570510166937961
TSC_het,OFT-0620-00,medium,619,2.5637094530792326,3.859550561797753,1.8196806771110092,1.9823897194491433
TSC_het,OFT-0621-00,slow,620,2.7537672870003203,3.601123595505618,1.8828080896566948,2.0753497775374794
TSC_het,OFT-0621-00,medium,621,2.528303120486154,3.859550561797753,1.8064958293603632,1.9993182481111054
TSC_het,OFT-0621-00,fast,622,2.476038761506075,4.764044943820225,1.7681927364109726,1.8899252762705234
TSC_het,OFT-0624-00,slow,623,2.7423489451243284,3.730337078651685,1.9193636409303954,2.11433775505833
TSC_het,OFT-0624-00,medium,624,2.8094180147279544,3.859550561797753,1.8560034468872613,2.0554809706304704
TSC_het,OFT-0624-00,fast,625,2.3001214540423147,4.117977528089888,1.7967970624443217,1.9522608772152104
TSC_het,OFT-0628-00,fast,626,2.484191383919243,4.247191011235955,1.755595471411058,1.843253288341342
TSC_het,OFT-0628-00,medium,627,2.6168917757661965,3.9887640449438204,1.8485164759344734,1.998628667600461
TSC_het,OFT-0628-00,slow,628,2.6729609698415313,3.4719101123595504,1.9552626233092385,2.0946981230028268
TSC_het,OFT-0630-00,medium,629,2.5353085918674965,4.376404494382022,1.7587048201286288,1.8875356775829162
TSC_het,OFT-0630-00,slow,630,2.7501950368356862,3.9887640449438204,1.8856488063898778,2.085669746328151
TSC_het,OFT-0630-00,fast,631,2.345058160311452,5.022471910112359,1.7848708792660688,2.0070641340858764
TSC_het,OFT-0632-00,medium,632,2.6359191011549274,3.0842696629213484,1.8457286626440963,1.9608138640203747
TSC_het,OFT-0632-00,fast,633,2.77696235027644,3.601123595505618,1.829745665473904,1.9934227515925078
TSC_het,OFT-0632-00,slow,634,2.855284169323447,2.696629213483146,1.935981610600252,2.0944217886725593
TSC_het,OFT-0634-00,medium,635,2.353213029744926,4.376404494382022,1.7513406599867098,1.9204998848301291
TSC_het,OFT-0634-00,slow,636,2.7845458491849926,3.4719101123595504,1.8613355682047772,2.054837307039341
TSC_het,OFT-0634-00,fast,637,2.47598029007404,4.764044943820225,1.7254001940267432,1.9045457357811733
TSC_het,OFT-0636-00,medium,638,2.287076974881892,3.859550561797753,1.7401751428075247,1.8600110349463703
TSC_het,OFT-0636-00,slow,639,2.3718848952951936,3.9887640449438204,1.8113338939644015,1.9770399735068864
TSC_het,OFT-0636-00,fast,640,2.6076107662814203,4.50561797752809,1.7281855295685742,1.8298838389783432
TSC_het,OFT-0640-00,slow,641,2.537143237569611,1.7921348314606742,1.8555459115004822,1.9968257947508035
TSC_het,OFT-0640-00,fast,642,2.392003313068751,3.859550561797753,1.8528811043496984,1.9706256619123865
TSC_het,OFT-0640-00,medium,643,2.5461424694538475,3.342696629213483,1.8262621342517933,1.982090315334399
TSC_het,OFT-0647-00,slow,644,2.1121307839762946,5.280898876404494,1.755037558811891,1.9129724249842042
TSC_het,OFT-0647-00,fast,645,2.134962249060487,5.797752808988764,1.6873052069779302,1.8631541309862363
TSC_het,OFT-0647-00,medium,646,2.1158010230703046,5.151685393258427,1.7065759398538691,1.844549280184697
TSC_het,OFT-0650-00,slow,647,2.3026020866727,1.6629213483146068,1.7715407144085131,1.9436645051931336
TSC_het,OFT-0650-00,fast,648,2.3987669187736667,5.022471910112359,1.6783319644875527,1.7948386429416792
TSC_het,OFT-0650-00,medium,649,2.384492327428629,4.376404494382022,1.7443909075775126,1.9151118720954217
TSC_het,OFT-0657-00,slow,650,2.5357930006215588,2.8258426966292136,1.9070327271995033,2.0873860178671313
TSC_het,OFT-0657-00,medium,651,2.368305132433436,3.2134831460674156,1.8862047721504007,2.0348259674382336
TSC_het,OFT-0657-00,fast,652,2.527269703999643,3.601123595505618,1.852997498822657,2.0136568690452163
TSC_het,OFT-0661-00,medium,653,2.66664118177742,3.730337078651685,1.8496877992248058,2.000611940103769
TSC_het,OFT-0661-00,fast,654,3.0602201321256226,4.117977528089888,1.738265002303489,1.8141600141626066
TSC_het,OFT-0661-00,slow,655,2.8938592788851776,5.926966292134831,1.8382816606309118,2.0161332228935094
TSC_het,OFT-0668-00,fast,656,2.31782976902233,5.668539325842697,1.6553088241081058,1.8119877953754193
TSC_het,OFT-0668-00,slow,657,2.3293774441931223,4.247191011235955,1.7762672759615261,1.9242656362342259
TSC_het,OFT-0668-00,medium,658,2.060103860703336,5.022471910112359,1.6589561628471658,1.7893215190402094
TSC_het,OFT-0670-00,medium,659,2.6538995057027996,3.342696629213483,1.8975745517786828,2.026683922999603
TSC_het,OFT-0670-00,slow,660,2.667774782175633,1.404494382022472,1.9631185982854908,2.1239124643544964
TSC_het,OFT-0670-00,fast,661,2.7466947600462936,3.859550561797753,1.804361480669173,1.899075947510177
TSC_het,OFT-0674-00,slow,662,2.8889405453579395,2.696629213483146,1.9024556834368367,2.0497463399163376
TSC_het,OFT-0674-00,fast,663,2.4474745566972693,3.4719101123595504,1.869206753730365,2.0059567501739815
TSC_het,OFT-0674-00,medium,664,2.7692160321921206,3.2134831460674156,1.9123240117596683,2.111723150225008
TSC_het,OFT-0678-00,medium,665,2.648529860895331,3.342696629213483,1.9376197496774625,2.0805267151944746
TSC_het,OFT-0678-00,fast,666,2.532396340018759,3.601123595505618,1.844713159444864,2.0103460618665596
TSC_het,OFT-0678-00,slow,667,3.1526322077469784,2.1797752808988764,2.0186273296062103,2.0997476052572552
TSC_het,OFT-0682-00,slow,668,2.8623250136586336,2.567415730337079,1.9579785313221003,2.057385750499077
TSC_het,OFT-0682-00,fast,669,2.6452537746666955,5.410112359550562,1.9398757298139073,2.1395334214787884
TSC_het,OFT-0682-00,medium,670,3.027599009237852,3.4719101123595504,1.9626605223502938,2.0492655690916983
TSC_het,OFT-0683-00,medium,671,2.18223556991604,4.50561797752809,1.692885747946322,1.8130214557771536
TSC_het,OFT-0683-00,fast,672,2.143498818679814,5.53932584269663,1.632567857875181,1.7976084131277676
TSC_het,OFT-0683-00,slow,673,2.4979000796486823,4.376404494382022,1.784505920999489,1.956226932037362
TSC_het,OFT-0693-00,slow,674,2.3260766663988193,3.9887640449438204,1.8103138632619857,2.0005480571644663
TSC_het,OFT-0693-00,medium,675,2.448230783667591,4.634831460674158,1.820843418964332,1.9441787954121477
TSC_het,OFT-0693-00,fast,676,2.2225964211735496,5.410112359550562,1.667536197194525,1.793289825886722
TSC_het,OFT-0694-00,slow,677,2.2516020807584716,4.117977528089888,1.7063011004504056,1.7976920788571615
TSC_het,OFT-0694-00,medium,678,2.5057898726797543,4.50561797752809,1.7330417063887011,1.81560252450072
TSC_het,OFT-0694-00,fast,679,2.2482603957456493,5.280898876404494,1.6804735523090126,1.7653269662616504
TSC_het,OFT-0702-00,fast,680,2.1529243872533255,5.668539325842697,1.6806165287018153,1.8185666664118953
TSC_het,OFT-0702-00,medium,681,2.4040557156829303,4.50561797752809,1.741206257204094,1.806598710844812
TSC_het,OFT-0702-00,slow,682,2.2929459815429603,4.50561797752809,1.797467834826541,2.0101835578237646
TSC_het,OFT-0708-00,fast,683,2.305001193880189,4.50561797752809,1.7145462156119495,1.8478613719226664
TSC_het,OFT-0708-00,medium,684,2.4474666574848936,4.376404494382022,1.7947673237451869,1.9407335541132034
TSC_het,OFT-0708-00,slow,685,2.7030891155460055,4.117977528089888,1.8309885041728,2.021782960819924
TSC_hom,OFT-0637-00,fast,686,2.292826925906417,3.601123595505618,1.7364189302807824,1.8766182486646414
TSC_hom,OFT-0637-00,slow,687,2.4058154910499954,3.4719101123595504,1.834095890912258,1.9469999987060387
TSC_hom,OFT-0637-00,medium,688,2.4905515193313756,3.601123595505618,1.7505663304137582,1.8701385363584084
TSC_hom,OFT-0639-00,medium,689,2.3116758592901188,3.342696629213483,1.7729699095404812,1.8766441494241024
TSC_hom,OFT-0639-00,slow,690,2.408499999257279,3.2134831460674156,1.7825116974593542,1.9062467048013478
TSC_hom,OFT-0639-00,fast,691,2.3273315554337333,4.376404494382022,1.6942935914232242,1.7975709446151478
TSC_hom,OFT-0648-00,medium,692,2.5633313969190104,3.0842696629213484,1.793567354267417,1.9390725161528795
TSC_hom,OFT-0648-00,slow,693,2.905399132107052,2.955056179775281,1.8223148597222232,1.9501012438383702
TSC_hom,OFT-0648-00,fast,694,2.947535621132081,1.5337078651685394,1.8600714624850954,1.9876767975236895
TSC_hom,OFT-0649-00,slow,695,2.866898215361414,3.2134831460674156,1.8843274719654743,2.0789532635545744
TSC_hom,OFT-0649-00,medium,696,2.6605360786066914,3.4719101123595504,1.8365591526282572,1.906532329363107
TSC_hom,OFT-0649-00,fast,697,2.430129737753704,3.601123595505618,1.7570348842993497,1.901875878218598
TSC_hom,OFT-0658-00,slow,698,2.4532554251826153,3.0842696629213484,1.7939238380887503,1.9507292588543463
